"year","season","NDVI","PPT","Temp","Sradi"
2014,"Wet",0.688659453387442,1259.60783830059,22.5885352807851,2891.93414330309
2015,"Wet",0.698130484010908,1286.98326288121,22.2713837152517,2853.77923641752
2016,"Wet",0.702073662201262,1353.79152382118,22.7961530086213,2965.33747530209
2017,"Wet",0.705672984560487,1218.57441995315,22.6167107700771,2978.4006571644
2018,"Wet",0.700890006195334,1158.38918069428,22.7594358660592,3038.02024887625
2019,"Wet",0.702338616140872,1179.81747504585,22.9243697402856,3032.02036403953
2020,"Wet",0.701697483250507,1209.54839580809,22.6033337934585,2954.72950417125
2021,"Wet",0.713343174355853,1136.32359938444,23.0399852905087,3028.74908008599
2022,"Wet",0.705439183106665,1151.18628010536,22.58996902679,3038.53527356767
2023,"Wet",0.70296322210929,1137.34920864361,23.0025784996013,3008.68422107414
2024,"Wet",0.708462636092345,1442.51584856998,23.3654814224576,2894.6694403311
2025,"Wet",0.710487877163929,1343.50289125567,23.0051624489111,2990.43748440418
